week,team,rank
12,Uconn,19
12,St. John's,20
12,Michigan,21
12,Missouri,22
12,West Virginia,23
12,Memphis,24
12,Louisville,25
13,Auburn,1
13,Duke,2
13,Iowa State,3
13,Alabama,4
13,Florida,5
13,Houston,6
13,Michigan State,7
13,Tennessee,8
13,Marquette,9
13,Purdue,10
13,Kansas,11
13,Kentucky,12
13,Texas A&M,13
13,Mississippi State,14
13,St. John's,15
13,Oregon,16
13,Wisconsin,17
13,Illinois,18
13,Memphis,19
13,Missouri,20
13,Louisville,21
13,Texas Tech,22
13,Ole Miss,23
13,Vanderbilt,24
13,Uconn,25
14,Auburn,1
14,Duke,2
14,Alabama,3
14,Tennessee,4
14,Houston,5
14,Florida,6
14,Purdue,7
14,Iowa State,8
14,Michigan State,9
14,Texas A&M,10
14,Marquette,11
14,St. John's,12
14,Texas Tech,13
14,Kentucky,14
14,Missouri,15
14,Kansas,16
14,Memphis,17
14,Maryland,18
14,Uconn,19
14,Arizona,20
14,Wisconsin,21
14,Mississippi State,22
14,Illinois,23
14,Michigan,24
14,Ole Miss,25
15,Auburn,1
15,Alabama,2
15,Florida,3
15,Duke,4
15,Tennessee,5
15,Houston,6
15,Purdue,7
15,Texas A&M,8
15,St. John's,9
15,Iowa State,10
15,Michigan State,11
15,Texas Tech,12
15,Arizona,13
15,Memphis,14
15,Kentucky,15
15,Wisconsin,16
15,Kansas,17
15,Marquette,18
15,Ole Miss,19
15,Michigan,20
15,Missouri,21
15,Mississippi State,22
15,Clemson,23
15,Creighton,24
15,Maryland,25
16,Auburn,1
16,Florida,2
16,Duke,3
16,Alabama,4
16,Houston,5
16,Tennessee,6
16,Texas A&M,7
16,Iowa State,8
16,Texas Tech,9
16,St. John's,10
16,Wisconsin,11
16,Michigan,12
16,Purdue,13
16,Michigan State,14
16,Missouri,15
16,Marquette,16
16,Kentucky,17
16,Clemson,18
16,Arizona,19
16,Maryland,20
16,Mississippi State,21
16,Memphis,22
16,Kansas,23
16,Ole Miss,24
16,Louisville,25
17,Auburn,1
17,Duke,2
17,Florida,3
17,Houston,4
17,Tennessee,5
17,Alabama,6
17,St. John's,7
17,Michigan State,8
17,Iowa State,9
17,Texas Tech,10
17,Wisconsin,11
17,Texas A&M,12
17,Clemson,13
17,Missouri,14
17,Michigan,15
17,Maryland,16
17,Kentucky,17
17,Memphis,18
17,Louisville,19
17,Purdue,20
17,Marquette,21
17,Arizona,22
17,Saint Mary's,23
17,Mississippi State,24
17,BYU,25
18,Auburn,1
18,Duke,2
18,Houston,3
18,Tennessee,4
18,Florida,5
18,St. John's,6
18,Alabama,7
18,Michigan State,8
18,Texas Tech,9
18,Iowa State,10
18,Clemson,11
18,Wisconsin,12
18,Maryland,13
18,Louisville,14
18,Missouri,15
18,Memphis,16
18,Michigan,17
18,Purdue,18
18,Kentucky,19
18,Marquette,20
18,Saint Mary's,21
18,Texas A&M,22
18,BYU,23
18,Arizona,24
18,Mississippi State,25
19,Duke,1
19,Houston,2
19,Auburn,3
19,Florida,4
19,Alabama,5
19,St. John's,6
19,Michigan State,7
19,Tennessee,8
19,Texas Tech,9
19,Clemson,10
19,Maryland,11
19,Iowa State,12
19,Louisville,13
19,Texas A&M,14
19,Kentucky,15
19,Memphis,16
19,BYU,17
19,Wisconsin,18
19,Saint Mary's,19
19,Purdue,20
19,Missouri,21
19,Michigan,22
19,Oregon,23
19,Illinois,24
19,Marquette,25
20,Duke,1
20,Houston,2
20,Florida,3
20,Auburn,4
20,St. John's,5
20,Tennessee,6
20,Alabama,7
20,Michigan State,8
20,Texas Tech,9
20,Louisville,10
20,Maryland,11
20,Clemson,12
20,Wisconsin,13
20,Michigan,14
20,Iowa State,15
20,Memphis,16
20,BYU,17
20,Kentucky,18
20,Texas A&M,19
20,Saint Mary's,20
20,Arizona,21
20,Purdue,22
20,Missouri,23
20,Gonzaga,24
20,Oregon,25
